Date,Author,Headline
01/22/2015,Mark Powell,Estate Planning Isn’t JUST About Taxes.
01/20/2015,Financial Samurai,The ROI of Bling
01/16/2015,Craig Birk,Market Recap – It Was a Wild Week!
01/16/2015,Hudson Liao,Skinny Waist. Fat Wallet.
01/14/2015,Chris Carucci,Take The Emotion Out Of Investing For Better Returns
01/12/2015,David Douglass,"A Fork In The Road – Retire Early, Stay On Career Path Or Try Something New?"
01/09/2015,Brendan Erne,Market Volatility is Back
01/09/2015,Craig Birk,2015 Investment Outlook
01/07/2015,Catha Mullen,"What We Measure, We Can Improve"
01/06/2015,Bill Harris,Personal Capital Now Manages Over One Billion Dollars
01/02/2015,Craig Birk,A 2014 Investment Market Recap
01/31/2014,Financial Samurai,The Best Of Daily Capital 2014 – Thank You!
12/29/2014,Kyle Ryan,2014 Personal Capital Year In Review
12/26/2014,Kyle Ryan,Markets Full of Cheer
12/22/2014,Kristin Wong,Family Finances: The Talk We Need To Have With Loved Ones
12/19/2014,Craig Birk,S&P Rises On Fed’s Promise To Keep Interest Rates Low
12/19/2014,Michael Ruderman,How To Save Money Traveling Like A Boss
12/17/2014,Bill Harris,Your Brain Will Make You Poor
12/15/2014,Hudson Liao,Can Your Investment Portfolio Fight And Win?
12/12/2014,Craig Birk,Stocks Tumble As Oil Prices Continue To Plummet
12/12/2014,Daily Capital,401k Retirement Infographic by Personal Capital
12/10/2014,Financial Samurai,"A Pimm’s Cup With Jacqueline Quasney, MarCom Manager At Personal Capital"
12/08/2014,Daily Capital,Six Tax Moves To Make Before Year End
12/05/2014,Craig Birk,US Stocks Rise On Strong Jobs Report
12/05/2014,Stefanie O'Connell,Bringing Positivity To Retirement Savings
12/03/2014,Craig Birk,The Personal Capital Retirement Forecast Calculator
12/01/2014,Bill Harris,Why Personal Capital?
11/28/2014,Craig Birk,Energy Stocks Crushed As Oil Prices Continue To Fall
11/28/2014,John Schmoll,How To Avoid A Holiday Spending Hangover
11/26/2014,Fritz Robbins,An Alert A Day Keeps The Fraud Away
11/24/2014,Financial Samurai,The Benefits Of Stealth Wealth
11/21/2014,Brendan Erne,Holiday Sales Already Underway; Markets Rally on Global Stimulus
11/21/2014,Ryan Koenig,Financial Steps To Take When Considering A Divorce
11/19/2014,Holly Johnson,The High Income Curse: Great Wealth Is Not A Guarantee
11/17/2014,Matt Lenore,Beware Of Mutual Funds Bearing Gifts
11/14/2014,Craig Birk,Oil Prices Continue To Fall As Stocks Remain Strong
11/14/2014,Catherine Alford,So You Want To Be A Broke Doctor?
11/12/2014,Financial Samurai,Are Your Income Streams Diverse Enough To Survive An Atomic Bomb?
11/10/2014,Financial Samurai,Open Enrollment Checklist – What To Know Now
11/07/2014,Craig Birk,Stocks Strong Following Elections and Jobs Report
11/07/2014,Personal Capital,Announcing Creating Capital
11/05/2014,Matt Lenore,America Turns Its Back On Bonds
11/03/2014,Financial Samurai,Leverage Your Biggest Fears To Succeed
10/31/2014,Craig Birk,"S&P, DOW Surge To Record Highs"
10/31/2014,Craig Birk,Three Time Champion SF Giants – Lucky or Good?
10/29/2014,Catha Mullen,Personal Capital Raises $50 Million to Accelerate Industry Change
10/27/2014,Barbara Friedberg,15 Affordable Places to Live in Retirement
10/24/2014,Craig Birk,Stocks Post Best Gains of 2014
10/24/2014,Catha Mullen,Forget A Book Club: How Your Friends Can Help You Save Money
10/22/2014,Catherine Alford,Should You Wait To Tell Your Children They’re Rich?
10/20/2014,Catha Mullen,The Top 5 Fall Home Maintenance Projects For The Best Returns
10/17/2014,Craig Birk,Market Drops Following Global Concerns
10/17/2014,Barbara Friedberg,Star Manager Or Team Approach To Investing?
10/15/2014,Financial Samurai,"Meet Ehsan Lavassani, Personal Capital’s First Employee"
10/13/2014,Financial Samurai,The Art of Art Investing
10/10/2014,Craig Birk,Stocks Take Roller Coaster Ride As Volatility Here To Stay
10/10/2014,Holly Johnson,A Potentially Easier Way To Get Rich: Move To The Midwest
10/08/2014,Financial Samurai,UCLA Study Links Personal Capital App to 15+% Increase in Savings
10/06/2014,Financial Samurai,What You Need To Know Before Buying Rental Property
10/03/2014,Craig Birk,Currencies Fluctuate; Unemployment Falls
10/03/2014,Financial Samurai,Retirement Might Not Cost As Much As You Think
10/01/2014,Kristin Wong,"Despite Challenges, Financial Education is Worth Pursuing"
09/29/2014,Financial Samurai,Why Real Estate Should Be A Part Of Your Retirement Strategy
09/26/2014,Craig Birk,Volatility Resurfaces; Bond Legend Moves On
09/26/2014,Arun Sundaresan,What Recent College Grads Need To Know About Money
09/22/2014,Financial Samurai,Inaction Is Costing You A Fortune
09/19/2014,Craig Birk,Alibaba Steals the Show & Leads Stocks Higher
09/19/2014,Financial Samurai,Better To Work For A Hedge Fund Than To Invest In One
09/17/2014,Barbara Friedberg,Fed Chief Janet Yellen: The Most Powerful Woman In The World
09/15/2014,Financial Samurai,"Are You Rich And Broke? Now, Now, Dear"
09/12/2014,Craig Birk,Apple Excites; Global Asset Prices Decline
09/11/2014,Financial Samurai,If Professional Money Managers Can’t Outperform The Index Why Do You Bother?
09/09/2014,Chris Carucci,Do You Have An All Weather Portfolio?
09/07/2014,Daily Capital,The Oblivious Beneficiary – Do You Have Unclaimed Life Insurance Money?
09/05/2014,Craig Birk,Europe Gets Aggressive with Monetary Policy; Stocks Rise
09/04/2014,Poonkulali Thangavelu,Make The Most Of Your Credit Score As FICO 9 Debuts
09/02/2014,Brendan Erne,Can Technology Effectively Replace Humans?
08/29/2014,Craig Birk,"Ukraine Deteriorates, S&P Surpasses 2000 Anyway"
08/29/2014,Arun Sundaresan,What Are The Reasons For The Student Loan Crisis?
08/27/2014,Financial Samurai,Don’t Wait Until You’re Broken To See The World
08/25/2014,Holly Johnson,Health Care Sharing Ministries: An Alternative to Obamacare
08/22/2014,Craig Birk,Housing and the Fed Feed More Bull Market
08/22/2014,Theresa Chin,How Do You Know If You Can Trust Your Financial Advisor?
08/20/2014,Suba Iyer,The Rising Cost Of Childcare: Can You Afford To Work?
08/18/2014,Kate Lawless,Average Investment Returns By Asset Class
08/15/2014,Craig Birk,Stocks Push Higher While European Economic Growth Stalls
08/15/2014,Financial Samurai,Friends Don’t Let Friends Go To Private School Without A Scholarship
08/13/2014,Scott Baber,The Cash Box: Saving Money Is About Developing Good Habits
08/11/2014,Barbara Friedberg,Should I Pay Off My Student Loans Or Invest?
08/08/2014,Craig Birk,US Initiates Airstrikes in Iraq; Stocks Shake Off Dour Week
08/08/2014,Matt Lenore,Just Say “No” To A Branded Portfolio
08/06/2014,Theresa Chin,The 5 Most Common DIY Investing Mistakes…And How To Avoid Them
08/04/2014,Arun Sundaresan,Why Gen Y Can’t Afford Prime Real Estate Any Longer
08/01/2014,Craig Birk,Stocks Slide Amidst Global Turmoil
07/31/2014,Daily Capital,What Happens When The Old Wall Crumbles? – Bill Harris Speaks With Maria Bartiromo
07/30/2014,Financial Samurai,An Asian American’s View On Why Asians Save And Earn So Much
07/28/2014,Daily Capital,Hidden 401k Fees Are Costing You A Fortune: Here’s What You Could Do With The Money
07/25/2014,Brendan Erne,Earnings in Full Swing; US Stocks Flat
07/25/2014,Arun Sundaresan,How Your Money Can Buy You Happiness
07/23/2014,Holly Johnson,Why A Six-Figure Salary No Longer Means You’re Rich
07/21/2014,Tyler Morris,Why I Joined Personal Capital As A Financial Advisor
07/18/2014,Brendan Erne,Markets Rebound From Geopolitical Events; Foreigners Increase Treasury Purchases
07/18/2014,Kate Lawless,Why Am I Creating Capital? To Solve the Gender Investing Gap
07/16/2014,Jim Del Favero,A CPO’s View On The Rise Of Wearable Devices
07/14/2014,Arun Sundaresan,The Surprising Costs Of Your Commute
07/11/2014,Craig Birk,Stocks Post a Rare Decline Spooked by European Debt Ghosts
07/11/2014,Suba Iyer,Annuities Explained: What You Should Know
07/08/2014,Theresa Chin,Carry Your Money On Your Watch! Personal Capital Debuts on Android Wear™
07/07/2014,Tricia Richter,Buy vs. Rent: Asking the Question in Mid-Life
07/03/2014,Craig Birk,Stocks Post Another Weekly Gain….Slowly & Steadily
07/01/2014,Daily Capital,"Kyle Ryan, Head Of Financial Advisory Named An InvestmentNews 40 Under 40"
06/29/2014,Financial Samurai,Don’t Let Circumstance Or Statistics Dictate Your Financial Destiny
06/27/2014,Brendan Erne,Stocks Take Breather Amidst World Cup Fever
06/25/2014,Arun Sundaresan,Five Keys To Finding The Next Kentucky Derby Winner
06/23/2014,Justin McCurry,Why Studying Abroad Will Change Your Life For The Better
06/20/2014,Craig Birk,Summer Rally Continues
06/20/2014,Daily Capital,Technology-Assisted Financial Advisor Personal Capital Disrupts Wall Street
06/19/2014,Financial Samurai,How To Minimize 401k Fees With Personal Capital
06/15/2014,Financial Samurai,Three Ways To Minimize Dying With Regret
06/13/2014,Craig Birk,Markets Down as Violence in Iraq Escalates
06/11/2014,Financial Samurai,The Solution To The Gender Wage Gap
06/06/2014,Brendan Erne,ECB & US Jobs Report Drive Strong Finish to Week
06/04/2014,Financial Samurai,Five Reasons Why You’ll Never Be Rich And One Reason Why You Already Are
06/02/2014,Brendan Erne,Are You Prepared for the Inevitable Market Correction?
05/30/2014,Craig Birk,GDP Revised Down; Stocks Hit New Highs
05/29/2014,Suba Iyer,A Primer On Estate Planning Using Trusts
05/23/2014,Craig Birk,Markets Advance Ahead of Memorial Day
05/23/2014,Matt Lenore,When Can You Withdraw From Your 401k Or IRA Penalty Free?
05/21/2014,Poonkulali Thangavelu,Strategies For When To Exercise Your Stock Options
05/19/2014,Financial Samurai,5 Strategies For Succeeding Even If Your Company Isn’t
05/16/2014,Craig Birk,Small Caps Acting Sheepish
05/16/2014,Financial Samurai,The Keys To Living Longer – The 90+ Research Study
05/14/2014,Financial Samurai,Millennials Are Financially Doomed! Or Are They?
05/12/2014,Holly Johnson,"The Cost Of Funerals, Death, and Dying"
05/09/2014,Craig Birk,All Quiet on the Eastern Front
05/09/2014,Financial Samurai,Advice For Choosing The Right Realtor To Sell A Property
05/07/2014,Daily Capital,Personal Capital Surpasses $500 Million In Assets Under Management
05/05/2014,Craig Birk,Making Sense of Risk Tolerance
05/02/2014,Craig Birk,"Ukraine, Jobs & GDP – Plus, Our Investment Committee Conference Call"
04/30/2014,Tricia Richter,Calculating The Cost Of Long-Term Care For The Not So Golden Years
04/28/2014,Brendan Erne,Is Wine A Good Investment?
04/25/2014,Craig Birk,Earnings Roller Coaster Leads to Flat Week
04/25/2014,Craig Birk,How Personal Capital Is Different From Algorithmic Advisors And Traditional Advisors
04/23/2014,Joe Saul-Sehy,Five College Savings Plans And Investment Options
04/21/2014,Matt Lenore,Is High Frequency Trading Really Such A Bad Thing?
04/18/2014,John Schmoll,The Difference Between Term And Whole Life Insurance
04/17/2014,Craig Birk,Earnings Season Underway – Unexpected Winners and Losers
04/16/2014,Financial Samurai,"Meet Kyle Ryan, Head Of Advisory Services At Personal Capital"
04/15/2014,Craig Birk,Four Steps to a Better Retirement
04/13/2014,Justin McCurry,Advantages Of Filing For A Tax Extension
04/11/2014,Craig Birk,An Unlikely Market Leader Emerges
04/10/2014,Daily Capital,Heartbleed Security Update
04/09/2014,Financial Samurai,Is Smart Indexing A Good Investment Strategy?
04/08/2014,Catha Mullen,Detect Financial Fraud Using Personal Capital
04/06/2014,Craig Birk,Personal Capital 1Q2014 Market Review & Outlook
04/04/2014,Craig Birk,High Momentum Stocks Remain Volatile
04/03/2014,Holly Johnson,"Obamacare: The Good, The Bad, And The Ugly"
04/01/2014,Poonkulali Thangavelu,Equity Compensation: A Tale of Three Grantees
03/30/2014,Jim Del Favero,New Investment Checkup Feature On Personal Capital
03/28/2014,Craig Birk,"High Flying Stocks Get Hit. Blip, or Winds Changing?"
03/27/2014,Financial Samurai,The Top Retirement States Based On Taxes And Lifestyle
03/25/2014,Brendan Erne,An Asset Allocation Example For Someone In Their 30s
03/23/2014,Financial Samurai,Five Career Limiting Moves To Destroy Your Retirement
03/21/2014,Craig Birk,Yellen Sets the Stage for Higher Rates
03/19/2014,Barbara Friedberg,Is A Backdoor Roth IRA A Good Move?
03/14/2014,Craig Birk,Situation in Ukraine Reaches a Boiling Point
03/14/2014,Matt Lenore,Practice Tax Location To Boost Investment Returns
03/10/2014,Financial Samurai,Giving Up A Six Figure Job For A Passion
03/07/2014,Craig Birk,Ukraine/Russia Tensions Remain High; US Stocks Increase
03/07/2014,Kelly Kearsley,Can I Contribute To A 401k And An IRA?
03/05/2014,Suba Iyer,Overcoming Gender Irrationality For Better Returns
03/03/2014,Craig Birk,A Better Way To Track Your Spending Each Month
02/28/2014,Craig Birk,Stocks Climb Despite Mixed Economic News & Turmoil in Ukraine
02/28/2014,Brendan Erne,Is Now A Good Time To Buy Stocks?
02/26/2014,Financial Samurai,The Most Lucrative Ways To Spend Your Tax Refund
02/24/2014,Catha Mullen,Stock Options or RSUs? Your Equity Compensation Primer
02/21/2014,Craig Birk,Stocks Flat Despite Buyout Activity
02/21/2014,Justin McCurry,How Can The Average American Pay No Taxes?
02/19/2014,Brendan Erne,The Ultimate Tax Guide To Maximize Investment Returns
02/19/2014,Poonkulali Thangavelu,Seeking Fairness: 401ks & Highly Compensated Employees
02/14/2014,Craig Birk,Markets Rise with Love in the Air
02/14/2014,Financial Samurai,The Price Of Love For A Silicon Valley Man
02/12/2014,Financial Samurai,How To Become A Millionaire
02/10/2014,Cecily O'Connor,Leaving An Employer? Don’t Forget The Rollover IRA
02/07/2014,Craig Birk,Investors Panic but Markets Recover; Yelp Finishes Strong
02/07/2014,Sean Cooper,Workplace Tax Breaks – Get These Savings On Your Radar
02/05/2014,Catha Mullen,Real Data Suggest Gender Biases in Investing
02/02/2014,John Schmoll,Does the MyRA Solve the Retirement Saving Crisis?
01/31/2014,Craig Birk,Markets Remain Volatile on EM and Mixed Earnings
01/29/2014,Kelly Kearsley,Unlock Your Retirement Savings Potential: The 401k
01/27/2014,Sean Cooper,Defined Contribution Plans on the Rise: Action Required
01/24/2014,Brendan Erne,China Drives Emerging Market Selloff and Flight to Safety
01/22/2014,Daily Capital,Leading the Digital Wealth Management Revolution
01/21/2014,Daily Capital,Use These Tech Tricks to Avoid ATM Fees
01/17/2014,Craig Birk,"Citi, HSBC Suspensions Suggest Currency Upheaval"
01/17/2014,Daily Capital,One Of The Best Ways To Detect Financial Fraud
01/14/2014,Daily Capital,Getting Ahead of the Curve: Asset Allocation
01/10/2014,Daily Capital,How Diversification Helps You Save Money
01/10/2014,Craig Birk,Markets React Favorably to Disappointing Jobs Report
01/07/2014,Daily Capital,Reflecting on 2013: Investment Mistakes and Remedies
01/03/2014,Craig Birk,2013 Reminiscent of 1998 – Strong Year for Domestic Stocks
12/31/2013,Daily Capital,End the Year Right with These Simple Tax Tips
12/27/2013,Craig Birk,Stocks Continue Upward Climb at End of Remarkable Year
12/27/2013,Daily Capital,"Bitcoin Decoded (Readers, Use Caution)"
12/23/2013,Daily Capital,New Mortgage Rules in 2014: What They Mean for You
12/20/2013,Craig Birk,US Stocks Lead the Way on Fed Tapering & Strong GDP Report
12/19/2013,Daily Capital,"You Index: Your Portfolio Performance, Simplified."
12/18/2013,Daily Capital,What Big Banks Don’t Want You to Know
12/15/2013,Daily Capital,Can Target Date Funds Miss the Mark?
12/13/2013,Craig Birk,Stocks Fall Despite a Deal in Congress
12/12/2013,Kelly Kearsley,Roth IRAs and 401ks: Are They a Smart Move for You?
12/06/2013,Craig Birk,Strong Jobs Report Helps US Equities Pare Weekly Losses
11/27/2013,Craig Birk,Markets Calm Over Thanksgiving Week
11/25/2013,Daily Capital,4 Money Must-Dos By the End of the Year
11/22/2013,Daily Capital,Diversifying Your Portfolio Post-IPO
11/22/2013,Craig Birk,Bitcoins Outpace Broader Market; Bubble Fears Abound
11/20/2013,Susan Pohlmeyer,Modern Portfolio Theory and the Value of Diversification
11/19/2013,Michael Ruderman,Markets React Favorably to Janet Yellen Comments
11/19/2013,Catha Mullen,Is Your Investing Strategy on Track?
11/08/2013,Michael Ruderman,Twitter Goes Public; US Economy Grows
11/07/2013,Bill Harris,What Twitter Employees Need To Know
11/06/2013,Michael Ruderman,Halloween Brings Jitters to Capital Markets
11/06/2013,Catha Mullen,What it Means to be a Millionaire at Retirement
10/25/2013,Craig Birk,Twitter Set to IPO; Amazon & Microsoft Beat Estimates
10/18/2013,Craig Birk,"Congress Acts – Finally, Markets See Clear Skies"
10/15/2013,Craig Birk,Understanding Investment Fees
10/15/2013,Craig Birk,Successful Asset Allocation
10/15/2013,Brendan Erne,How Should I Save for College
10/11/2013,Craig Birk,Potential Progress in Shutdown & Debt Ceiling Debate
10/04/2013,Craig Birk,US Government Shutdown has Modest Market Impact
09/27/2013,Brendan Erne,US Wins America’s Cup Amid Debt Ceiling Debate
09/20/2013,Craig Birk,Fed Stands Pat on Bond Purchases
09/13/2013,Craig Birk,Russia Offers Syria Deal; Verizon Issues Record Debt
09/06/2013,Craig Birk,Senate Panel Backs Obama; Jobs Report Falls Flat
08/30/2013,Brendan Erne,Kerry Comments on Syria; Oil Prices Increase
08/23/2013,Craig Birk,Emerging Markets Stocks Down 13%; Ballmer to Retire within Year
08/16/2013,Brendan Erne,Jobless Claims Fall; Dow Slides
08/13/2013,Daily Capital,Online Money Management Solutions: Personal Capital
08/10/2013,Daily Capital,"Detroit, Muni Bonds and Your Portfolio"
08/09/2013,Craig Birk,Fed Discusses Stimulus Reduction; Bonds Up Modestly
08/02/2013,Craig Birk,Fed to Continue Bond Buying; Home Prices Rise
07/29/2013,Personal Capital,Financial Considerations for New Parents
07/26/2013,Daily Capital,What Investors can Learn from “Abenomics”
07/26/2013,Personal Capital,Organize Your Expenses with Categories
07/26/2013,Bill Harris,5 Things Investors can do in a Rising Interest Rate Environment
07/26/2013,Bill Harris,Don’t Underestimate Your Stock Options
07/26/2013,Daily Capital,"What Do China, Egypt and Your Portfolio Have in Common?"
07/26/2013,Daily Capital,Are You a Digitally Savvy Investor?
07/26/2013,Craig Birk,Earnings Season Continues; Bonds Decline
07/19/2013,Brendan Erne,Bernanke Clarifies Policy; Bond Prices Rise
07/12/2013,Craig Birk,Fed to Remain “Accommodative”; S&P 500 Jumps 3%
07/05/2013,Craig Birk,Q2 Trends Continue into the Summer
06/17/2013,Personal Capital,Don’t Get Spooked by Rising Interest Rates
06/12/2013,Personal Capital,Introducing New Dashboard Features
06/07/2013,Personal Capital,How to Make the Best of a Layoff
06/05/2013,Personal Capital,Personal Capital Raises $25 Million Financing
06/03/2013,Personal Capital,Fees & Your Investments: What you Need to Know
06/02/2013,Personal Capital,Study: 401k Fee Disclosure Not Helping
06/01/2013,Craig Birk,Stock Markets Calmed; Gold Plummets
06/01/2013,Daily Capital,New Comparability Profit Sharing Plans: The Basics
06/01/2013,Bill Harris,Building a Better Infrastructure for a 401k World
05/31/2013,Brendan Erne,Stocks Decline after Bernanke’s Comments; Dollar Strengthens
05/31/2013,Craig Birk,S&P 500 Ends Week Down 1%; Bonds Gain
05/30/2013,Craig Birk,"US Adds 175,000 Jobs; IMF Admits Mistakes"
05/29/2013,Craig Birk,Another Monthly Gain for the S&P 500; Bonds Fall
05/26/2013,Personal Capital,You Index™ Meets Android
05/25/2013,Personal Capital,"Our Latest & Greatest Personal Finance Tools, on iPad First"
05/25/2013,Daily Capital,Small Business Owner or Employee? Make sure you Understand 401k Fees
05/25/2013,Bill Harris,Own Mutual Funds? Beware Tax Hits
